FECHA,HORA INICIO,TOTAL CORREOS,MENSAJES POR ENVIAR,MENSAJES ENVIADOS,HORA FINAL
05 Mar 18,11:00:23,1,1,1,11:00:33
05 Mar 18,11:03:07,1,1,1,11:03:15
05 Mar 18,11:11:34,1,1,1,11:11:42
05 Mar 18,11:12:06,1,1,1,11:12:14
05 Mar 18,11:12:20,1,1,1,11:12:28
05 Mar 18,11:13:22,1,1,1,11:13:30
05 Mar 18,11:13:35,1,1,1,11:13:43
05 Mar 18,11:21:46,2,1,1,11:21:56
13 Mar 18,11:33:00,12,12,12,11:34:43
14 Mar 18,08:51:18,47,46,46,08:57:29
17 Mar 18,09:09:58,3,3,3,09:12:16
17 Mar 18,09:15:12,1,1,1,09:15:58
17 Mar 18,14:31:09,5,5,5,14:34:14
17 Mar 18,14:34:20,2,2,2,14:35:30
17 Mar 18,14:35:36,1,1,1,14:36:13
20 Mar 18,09:08:03,1,1,1,09:08:40
20 Mar 18,09:28:48,1,1,1,09:29:30
20 Mar 18,09:29:36,1,1,1,09:30:28
20 Mar 18,09:46:37,1,1,1,09:47:17
20 Mar 18,10:11:37,2,2,2,10:12:49
20 Mar 18,10:13:31,1,1,1,10:14:19
20 Mar 18,10:14:25,3,3,3,10:16:13
20 Mar 18,10:17:43,1,1,1,10:18:32
20 Mar 18,10:18:38,1,1,1,10:19:05
20 Mar 18,10:26:38,1,1,1,10:27:20
20 Mar 18,10:27:26,1,1,1,10:28:06
24 Mar 18,11:19:00,3,3,3,11:21:01
24 Mar 18,11:23:40,1,1,1,11:24:35
24 Mar 18,11:24:41,3,3,3,11:26:40
02 May 18,11:48:32,10,10,10,11:55:37
02 May 18,12:22:58,3,3,3,12:25:18
02 May 18,12:25:24,1,1,1,12:26:10
10 Jul 18,11:20:12,1,1,1,11:21:06
10 Jul 18,11:35:59,3,3,3,11:38:23
12 Jul 18,12:22:08,1,1,1,12:22:42
12 Jul 18,12:46:16,1,1,1,12:46:53
12 Jul 18,12:49:06,1,1,1,12:49:37
12 Jul 18,12:51:50,2,2,2,12:52:55
30 Jul 18,11:23:02,1,1,1,11:23:46
30 Jul 18,11:23:52,2,2,2,11:25:36
30 Jul 18,11:32:40,1,1,1,11:33:09
30 Jul 18,11:33:15,1,1,1,11:34:05
30 Jul 18,11:36:24,1,1,1,11:36:57
30 Jul 18,11:39:10,1,1,1,11:39:41
30 Jul 18,11:56:52,1,1,1,11:57:37
30 Jul 18,12:00:14,1,1,1,12:01:01
30 Jul 18,12:03:38,1,1,1,12:04:15
30 Jul 18,12:04:21,1,1,1,12:04:55
06 Aug 18,15:04:51,4,3,3,15:07:07
07 Aug 18,12:44:31,1,1,1,12:45:13
07 Aug 18,12:46:32,1,1,1,12:47:13
07 Aug 18,12:49:12,1,1,1,12:49:41
07 Aug 18,16:46:52,1,1,1,16:47:45
08 Aug 18,09:32:43,1,1,1,09:33:13
08 Aug 18,16:49:58,1,1,1,16:50:39
08 Aug 18,16:58:54,1,1,1,16:59:29
08 Aug 18,17:01:43,1,1,1,17:02:39
08 Aug 18,17:04:52,1,1,1,17:05:44
08 Aug 18,17:09:11,1,1,1,17:09:47
08 Aug 18,17:10:43,1,1,1,17:11:27
09 Aug 18,10:26:43,1,1,1,10:27:28
09 Aug 18,10:45:55,1,1,1,10:46:31
09 Aug 18,10:49:21,2,1,1,10:54:25
09 Aug 18,12:29:07,2,2,2,12:30:25
09 Aug 18,13:00:27,1,1,1,13:01:18
09 Aug 18,13:32:58,1,1,1,13:33:41
09 Aug 18,13:35:55,1,1,1,13:36:35
09 Aug 18,13:58:32,3,3,3,14:00:53
09 Aug 18,14:03:18,1,1,1,14:03:58
09 Aug 18,14:29:05,1,1,1,14:29:53
10 Aug 18,09:53:30,2,1,1,09:54:22
10 Aug 18,10:19:03,1,1,1,10:19:42
10 Aug 18,10:26:33,1,1,1,10:27:28
10 Aug 18,10:42:03,1,1,1,10:42:56
10 Aug 18,10:45:08,1,1,1,10:45:41
10 Aug 18,11:11:27,1,1,1,11:12:03
10 Aug 18,11:14:16,1,1,1,11:14:59
10 Aug 18,11:27:03,2,2,2,11:28:36
10 Aug 18,11:34:00,4,4,4,11:37:04
10 Aug 18,11:37:10,2,1,1,11:40:16
10 Aug 18,11:40:22,1,1,1,11:41:06
10 Aug 18,11:43:19,2,1,1,11:46:26
10 Aug 18,12:15:44,1,1,1,12:16:35
10 Aug 18,12:19:34,4,2,2,12:29:24
10 Aug 18,12:29:30,3,3,3,12:31:43
10 Aug 18,12:31:49,1,1,1,12:32:31
10 Aug 18,12:41:10,2,2,2,12:42:34
10 Aug 18,12:45:17,1,1,1,12:45:48
10 Aug 18,12:52:27,1,1,1,12:53:01
10 Aug 18,13:29:57,3,1,1,13:33:07
10 Aug 18,13:33:13,1,1,1,13:33:46
11 Aug 18,12:13:12,13,13,13,12:22:21
13 Aug 18,15:03:40,1,1,81,16:02:52
13 Aug 18,18:05:51,2,2,2,18:07:17
13 Aug 18,18:17:57,1,1,1,18:18:42
13 Aug 18,18:18:48,1,1,1,18:19:30
13 Aug 18,18:19:38,1,1,2,18:20:54
14 Aug 18,09:26:25,1,1,3,09:28:34
